City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Port Hueneme,US,2021-02-04 14:52:22,34.1478,-119.1951,48.99,70,1,3.44
141,Isfana,KG,2021-02-04 14:52:02,39.8386,69.5306,42.8,61,96,5.55
142,Taltal,CL,2021-02-04 14:52:22,-25.4,-70.4833,71.91,58,30,7.63
143,Saint George,US,2021-02-04 14:50:26,37.1041,-113.5841,42.8,42,1,24.16
144,Gravdal,NO,2021-02-04 14:52:22,68.1214,13.5031,28.4,86,20,4.61
145,Tura,IN,2021-02-04 14:50:07,25.5198,90.2201,63.61,52,0,3.4
146,Gua Musang,MY,2021-02-04 14:52:23,4.8823,101.9644,70.12,86,98,1.77
147,Bereda,ES,2021-02-04 14:52:23,43.2686,-7.5406,55.99,63,97,5.01
148,Tiznit,MA,2021-02-04 14:52:23,29.5833,-9.5,68.56,34,0,7.25
149,Zhoucheng,CN,2021-02-04 14:52:23,35.9122,116.3117,43.09,54,100,8.86
150,Westport,US,2021-02-04 14:48:02,41.1415,-73.3579,36.0,60,1,11.5
151,Hamilton,US,2021-02-04 14:49:42,39.1834,-84.5333,32.0,74,90,11.5
152,Surazh,RU,2021-02-04 14:52:24,53.0175,32.3918,34.21,99,100,7.47
153,Olafsvik,IS,2021-02-04 14:52:24,64.8945,-23.7142,38.34,79,100,35.19
154,Esmeraldas,BR,2021-02-04 14:52:24,-19.7625,-44.3139,84.2,51,75,6.91
155,Ancud,CL,2021-02-04 14:52:25,-41.8697,-73.8203,73.99,60,0,13.8
156,Urumqi,CN,2021-02-04 14:52:25,43.801,87.6005,10.4,92,7,7.11
157,Sergeyevka,KZ,2021-02-04 14:52:25,53.88,67.4158,26.31,98,99,6.51
158,Nishihara,JP,2021-02-04 14:52:25,26.1842,127.7558,60.8,58,1,4.61
159,Lorengau,PG,2021-02-04 14:52:25,-2.0226,147.2712,82.2,71,100,5.99
160,Klamath Falls,US,2021-02-04 14:52:26,42.2249,-121.7817,15.01,85,1,3.44
161,Rudbar,AF,2021-02-04 14:52:26,30.15,62.6,55.72,36,0,2.42
162,Bambous Virieux,MU,2021-02-04 14:52:26,-20.3428,57.7575,82.4,69,75,14.97
163,Mahebourg,MU,2021-02-04 14:52:27,-20.4081,57.7,82.4,69,75,14.97
164,Cayenne,GF,2021-02-04 14:52:27,4.9333,-52.3333,84.2,70,75,17.27
165,Paamiut,GL,2021-02-04 14:52:27,61.994,-49.6678,13.08,79,0,7.87
