City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
93,Port Alfred,-33.5906,26.891,70.0,94,82,1.01,ZA,2021-02-05 23:27:23,broken clouds
94,Hithadhoo,-0.6,73.0833,82.24,78,86,13.06,MV,2021-02-05 23:27:23,overcast clouds
95,Dingle,10.9995,122.6711,75.63,90,89,8.03,PH,2021-02-05 23:23:01,overcast clouds
96,Ponta Do Sol,32.6667,-17.1,51.01,68,36,5.01,PT,2021-02-05 23:27:24,scattered clouds
97,Staunton,38.1496,-79.0717,39.2,38,1,5.75,US,2021-02-05 23:27:15,clear sky
98,Sungaipenuh,-2.0833,101.3833,63.01,92,96,4.27,ID,2021-02-05 23:27:24,overcast clouds
99,Angoche,-16.2325,39.9086,78.98,87,100,2.55,MZ,2021-02-05 23:27:24,moderate rain
100,Lompoc,34.6391,-120.4579,68.0,40,1,16.11,US,2021-02-05 23:23:14,clear sky
101,Husavik,66.0449,-17.3389,24.8,68,0,2.3,IS,2021-02-05 23:27:25,clear sky
102,Algiers,36.7525,3.042,75.2,17,20,18.41,DZ,2021-02-05 23:27:25,few clouds
103,Araouane,18.9048,-3.5265,79.72,15,100,7.38,ML,2021-02-05 23:23:31,overcast clouds
104,Hobyo,5.3505,48.5268,75.9,77,36,15.59,SO,2021-02-05 23:27:25,scattered clouds
105,Victoria,22.2855,114.1577,64.99,82,0,4.76,HK,2021-02-05 23:25:43,clear sky
106,New Milford,40.9327,-74.0179,41.0,70,1,3.44,US,2021-02-05 23:27:25,clear sky
107,Mulege,26.8833,-111.9833,69.06,27,0,11.7,MX,2021-02-05 23:27:26,clear sky
108,Campbellton,48.0075,-66.6727,28.4,86,84,2.3,CA,2021-02-05 23:27:26,broken clouds
109,Ilulissat,69.2167,-51.1,8.6,36,7,11.5,GL,2021-02-05 23:27:26,clear sky
110,Hasaki,35.7333,140.8333,35.6,93,75,2.3,JP,2021-02-05 23:23:06,broken clouds
111,Cidreira,-30.1811,-50.2056,68.92,70,17,15.55,BR,2021-02-05 23:27:26,few clouds
112,Ribeira Grande,38.5167,-28.7,58.82,83,76,12.73,PT,2021-02-05 23:27:27,broken clouds
113,Port Hardy,50.6996,-127.4199,44.6,70,75,8.05,CA,2021-02-05 23:27:27,broken clouds
114,Syamzha,60.0158,41.0614,-3.6,91,100,8.39,RU,2021-02-05 23:27:27,light snow
115,Erzin,36.9559,36.2,55.99,80,0,8.01,TR,2021-02-05 23:27:27,clear sky
116,Ust-Maya,60.4167,134.5333,-28.93,84,100,1.25,RU,2021-02-05 23:27:27,overcast clouds
117,Bone,51.9669,12.1396,33.01,93,100,7.0,DE,2021-02-05 23:27:27,overcast clouds
118,Torbay,47.6666,-52.7314,36.0,100,90,27.63,CA,2021-02-05 23:22:54,overcast clouds
119,Clearwater,27.9659,-82.8001,69.8,77,6,11.5,US,2021-02-05 23:27:28,clear sky
120,Saint-Philippe,-21.3585,55.7679,78.8,65,0,6.91,RE,2021-02-05 23:27:28,light rain
121,Thompson,55.7435,-97.8558,-18.4,63,75,14.97,CA,2021-02-05 23:27:28,snow
122,Yellowknife,62.456,-114.3525,-31.0,68,90,12.66,CA,2021-02-05 23:27:28,overcast clouds
123,Plettenberg Bay,-34.0527,23.3716,67.98,91,3,3.2,ZA,2021-02-05 23:23:47,clear sky
124,Benemerito De Las Americas,16.5167,-90.6439,83.23,55,19,2.28,MX,2021-02-05 23:27:28,few clouds
125,New Norfolk,-42.7826,147.0587,70.0,93,88,4.0,AU,2021-02-05 23:22:56,light rain
126,Tubuala,9.5167,-79.0333,86.0,62,20,10.36,PA,2021-02-05 23:27:29,few clouds
127,Mayumba,-3.432,10.6554,78.89,83,74,3.51,GA,2021-02-05 23:27:29,light rain
128,Paralimni,35.0375,33.9833,55.99,76,0,1.14,CY,2021-02-05 23:27:29,clear sky
129,Malayal,7.208,121.942,77.0,88,75,2.3,PH,2021-02-05 23:27:29,broken clouds
130,Kaputa,-8.4689,29.6619,70.23,85,100,3.38,ZM,2021-02-05 23:27:29,overcast clouds
131,Lagoa,39.05,-27.9833,58.51,87,98,15.59,PT,2021-02-05 23:23:29,overcast clouds
132,Upernavik,72.7868,-56.1549,3.36,71,56,5.44,GL,2021-02-05 23:22:56,broken clouds
133,Slavuta,50.3016,26.8651,20.39,93,92,1.9,UA,2021-02-05 23:27:30,overcast clouds
134,Zonguldak,41.25,31.8333,43.47,65,85,4.5,TR,2021-02-05 23:27:30,overcast clouds
